alert_id,timestamp,user,ip,country,severity,reason,event_type,mitre_id,mitre_technique,attempt_count,risk_score,ml_label,priority_score,recommended_action
SOC-F091DA90,2026-05-26 04:32:09,guest,192.0.2.77,NG,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,15,75.32,ANOMALY,85.19,Block IP immediately + Reset user password + Enable MFA
SOC-A3D17484,2026-05-26 04:30:15,guest,103.21.244.0,NG,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,15,75.32,ANOMALY,85.19,Block IP immediately + Reset user password + Enable MFA
SOC-3BF147DF,2026-05-26 02:45:50,deekshitha,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,15,74.8,ANOMALY,84.88,Block IP immediately + Reset user password + Enable MFA
SOC-426A9279,2026-05-26 04:32:35,admin,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,11,74.22,ANOMALY,84.53,Block IP immediately + Reset user password + Enable MFA
SOC-FDD7145C,2026-05-26 04:57:54,admin,198.51.100.23,KP,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,12,74.02,ANOMALY,84.41,Block IP immediately + Reset user password + Enable MFA
SOC-6E90AA1E,2026-05-26 04:51:24,admin,192.0.2.77,KP,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,12,74.02,ANOMALY,84.41,Block IP immediately + Reset user password + Enable MFA
SOC-FB49B2D5,2026-05-26 04:35:42,guest,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,13,73.75,ANOMALY,84.25,Block IP immediately + Reset user password + Enable MFA
SOC-A004B1C3,2026-05-26 04:12:30,john.doe,198.51.100.23,NG,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,15,73.32,ANOMALY,83.99,Block IP immediately + Reset user password + Enable MFA
SOC-FA27F006,2026-05-26 03:44:27,john.doe,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,14,73.21,ANOMALY,83.93,Block IP immediately + Reset user password + Enable MFA
SOC-C8D4D94C,2026-05-26 04:28:54,hr.user,103.21.244.0,NG,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,15,73.05,ANOMALY,83.83,Block IP immediately + Reset user password + Enable MFA
SOC-B5E2FEE9,2026-05-26 00:14:55,dev.ops,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,11,72.58,ANOMALY,83.55,Block IP immediately + Reset user password + Enable MFA
SOC-977944C6,2026-05-26 04:38:13,root,103.21.244.0,NG,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,13,72.43,ANOMALY,83.46,Block IP immediately + Reset user password + Enable MFA
SOC-27B88EAF,2026-05-26 04:29:09,root,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,11,72.28,ANOMALY,83.37,Block IP immediately + Reset user password + Enable MFA
SOC-1618D090,2026-05-26 04:30:18,guest,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,12,72.1,ANOMALY,83.26,Block IP immediately + Reset user password + Enable MFA
SOC-D2F9CD6E,2026-05-26 04:21:33,hr.user,103.21.244.0,RU,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,14,72.05,ANOMALY,83.23,Block IP immediately + Reset user password + Enable MFA
SOC-54582CF5,2026-05-26 04:08:21,dev.ops,198.51.100.23,NG,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,13,71.95,ANOMALY,83.17,Block IP immediately + Reset user password + Enable MFA
SOC-354C40B4,2026-05-26 01:08:17,root,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,11,71.43,ANOMALY,82.86,Block IP immediately + Reset user password + Enable MFA
SOC-0DD37429,2026-05-26 04:18:46,deekshitha,192.0.2.77,KP,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,12,70.29,ANOMALY,82.17,Block IP immediately + Reset user password + Enable MFA
SOC-59C7D3C6,2026-05-26 00:43:42,john.doe,45.33.32.156,RU,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,14,70.01,ANOMALY,82.01,Block IP immediately + Reset user password + Enable MFA
SOC-E70C9766,2026-05-26 00:40:05,guest,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,69.9,ANOMALY,81.94,Block IP immediately + Reset user password + Enable MFA
SOC-212D72C0,2026-05-26 00:36:10,dev.ops,45.33.32.156,NG,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,13,69.75,ANOMALY,81.85,Block IP immediately + Reset user password + Enable MFA
SOC-CE88A28C,2026-05-26 00:51:07,admin,185.220.101.45,NG,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,12,69.51,ANOMALY,81.71,Block IP immediately + Reset user password + Enable MFA
SOC-3290EF9A,2026-05-26 02:44:42,admin,198.51.100.23,RU,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,13,68.94,ANOMALY,81.36,Block IP immediately + Reset user password + Enable MFA
SOC-18AD7BCE,2026-05-26 04:37:45,admin,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,10,68.45,ANOMALY,81.07,Block IP immediately + Reset user password + Enable MFA
SOC-1124C9E3,2026-05-26 01:57:13,dev.ops,198.51.100.23,NG,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,14,66.93,ANOMALY,80.16,Block IP immediately + Reset user password + Enable MFA
SOC-2E58CF53,2026-05-26 00:20:10,admin,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,7,66.89,ANOMALY,80.13,Block IP immediately + Reset user password + Enable MFA
SOC-74C5B169,2026-05-26 01:18:22,john.doe,192.0.2.77,KP,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,66.8,ANOMALY,80.08,Block IP immediately + Reset user password + Enable MFA
SOC-BCA3BE86,2026-05-26 00:05:50,admin,45.195.135.163,US,MEDIUM,Suspicious After-Hours Login,after_hours_login,T1078,Valid Accounts,1,100.0,ANOMALY,80.0,Verify with user + Flag for manager review
SOC-65903F76,2026-05-26 04:49:25,guest,103.21.244.0,NG,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,13,66.26,ANOMALY,79.76,Block IP immediately + Reset user password + Enable MFA
SOC-612AC1C2,2026-05-26 00:30:08,guest,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,10,66.14,ANOMALY,79.68,Block IP immediately + Reset user password + Enable MFA
SOC-62964042,2026-05-26 00:26:33,jane.smith,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,15,66.03,ANOMALY,79.62,Block IP immediately + Reset user password + Enable MFA
SOC-A0411220,2026-05-26 00:59:12,john.doe,45.33.32.156,NG,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,13,65.24,ANOMALY,79.14,Block IP immediately + Reset user password + Enable MFA
SOC-A348A871,2026-05-26 00:06:21,john.doe,192.0.2.77,NG,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,13,65.24,ANOMALY,79.14,Block IP immediately + Reset user password + Enable MFA
SOC-E943BEB9,2026-05-26 04:52:00,jane.smith,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,12,65.1,ANOMALY,79.06,Block IP immediately + Reset user password + Enable MFA
SOC-0B0CA84F,2026-05-26 01:56:00,dev.ops,45.33.32.156,RU,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,14,64.91,ANOMALY,78.95,Block IP immediately + Reset user password + Enable MFA
SOC-93A9F939,2026-05-26 04:53:47,john.doe,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,12,64.48,ANOMALY,78.69,Block IP immediately + Reset user password + Enable MFA
SOC-B7055AAC,2026-05-26 03:27:37,admin,45.33.32.156,NG,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,13,64.21,ANOMALY,78.53,Block IP immediately + Reset user password + Enable MFA
SOC-3FBE2522,2026-05-26 00:11:58,admin,45.33.32.156,RU,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,11,63.66,ANOMALY,78.2,Block IP immediately + Reset user password + Enable MFA
SOC-57A17E22,2026-05-26 00:50:31,admin,198.51.100.23,RU,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,11,63.66,ANOMALY,78.2,Block IP immediately + Reset user password + Enable MFA
SOC-86BDB656,2026-05-26 03:34:32,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,11,63.53,ANOMALY,78.12,Block IP immediately + Reset user password + Enable MFA
SOC-8E9B05EA,2026-05-26 03:05:01,admin,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,11,63.53,ANOMALY,78.12,Block IP immediately + Reset user password + Enable MFA
SOC-5A1E38B0,2026-05-26 01:11:27,hr.user,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,12,63.33,ANOMALY,78.0,Block IP immediately + Reset user password + Enable MFA
SOC-FB131751,2026-05-26 00:52:39,jane.smith,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,62.52,NORMAL,77.51,Block IP immediately + Reset user password + Enable MFA
SOC-D6352D35,2026-05-26 03:44:02,guest,103.21.244.0,NG,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,14,62.27,NORMAL,77.36,Block IP immediately + Reset user password + Enable MFA
SOC-2E65FCE6,2026-05-26 02:49:31,guest,192.0.2.77,KP,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,15,61.94,NORMAL,77.16,Block IP immediately + Reset user password + Enable MFA
SOC-895EAB3A,2026-05-26 02:49:32,admin,45.33.32.156,NG,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,13,61.55,NORMAL,76.93,Block IP immediately + Reset user password + Enable MFA
SOC-68B89BF9,2026-05-26 02:51:54,john.doe,192.0.2.77,KP,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,61.48,NORMAL,76.89,Block IP immediately + Reset user password + Enable MFA
SOC-31BB28D6,2026-05-26 01:21:31,root,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,9,61.41,NORMAL,76.85,Block IP immediately + Reset user password + Enable MFA
SOC-58A44383,2026-05-26 01:56:30,root,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,9,61.41,NORMAL,76.85,Block IP immediately + Reset user password + Enable MFA
SOC-EAD062AB,2026-05-26 04:37:32,root,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,8,61.36,NORMAL,76.82,Block IP immediately + Reset user password + Enable MFA
SOC-546B21D6,2026-05-26 00:34:16,dev.ops,198.51.100.23,RU,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,12,61.01,NORMAL,76.61,Block IP immediately + Reset user password + Enable MFA
SOC-CA567908,2026-05-26 00:53:58,dev.ops,185.220.101.45,RU,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,12,61.01,NORMAL,76.61,Block IP immediately + Reset user password + Enable MFA
SOC-63E214F6,2026-05-26 00:28:35,admin,101.88.52.67,BR,MEDIUM,Suspicious After-Hours Login,after_hours_login,T1078,Valid Accounts,1,94.2,ANOMALY,76.52,Verify with user + Flag for manager review
SOC-03F60C49,2026-05-26 02:32:08,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,10,59.7,NORMAL,75.82,Block IP immediately + Reset user password + Enable MFA
SOC-209FBD4E,2026-05-26 00:34:17,admin,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,4,59.52,NORMAL,75.71,Block IP immediately + Reset user password + Enable MFA
SOC-243FBB52,2026-05-26 01:23:30,john.doe,103.21.244.0,KP,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,13,59.37,NORMAL,75.62,Block IP immediately + Reset user password + Enable MFA
SOC-3F8EDFAD,2026-05-26 02:59:03,hr.user,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,14,59.3,NORMAL,75.58,Block IP immediately + Reset user password + Enable MFA
SOC-02A4EDAD,2026-05-26 01:45:10,root,103.21.244.0,NG,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,12,58.88,NORMAL,75.33,Block IP immediately + Reset user password + Enable MFA
SOC-4F579FAD,2026-05-26 00:31:45,guest,192.0.2.77,KP,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,12,58.51,NORMAL,75.11,Block IP immediately + Reset user password + Enable MFA
SOC-8A7B7038,2026-05-26 01:58:02,hr.user,103.21.244.0,KP,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,13,57.71,NORMAL,74.63,Block IP immediately + Reset user password + Enable MFA
SOC-0D389696,2026-05-26 01:02:32,hr.user,185.220.101.45,KP,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,13,57.71,NORMAL,74.63,Block IP immediately + Reset user password + Enable MFA
SOC-1F05196C,2026-05-26 00:48:39,root,45.33.32.156,RU,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,9,57.62,NORMAL,74.57,Block IP immediately + Reset user password + Enable MFA
SOC-7C678F57,2026-05-26 02:08:19,dev.ops,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,11,57.52,NORMAL,74.51,Block IP immediately + Reset user password + Enable MFA
SOC-C280E93F,2026-05-26 02:27:29,dev.ops,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,11,57.52,NORMAL,74.51,Block IP immediately + Reset user password + Enable MFA
SOC-CEF39E10,2026-05-26 00:03:52,root,112.217.204.122,RU,MEDIUM,Suspicious After-Hours Login,after_hours_login,T1078,Valid Accounts,1,90.75,ANOMALY,74.45,Verify with user + Flag for manager review
SOC-65539682,2026-05-26 04:03:21,john.doe,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,11,56.89,NORMAL,74.13,Block IP immediately + Reset user password + Enable MFA
SOC-34A0574B,2026-05-26 04:20:17,hr.user,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,12,56.7,NORMAL,74.02,Block IP immediately + Reset user password + Enable MFA
SOC-71722D0E,2026-05-26 00:58:28,jane.smith,192.0.2.77,RU,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,13,56.47,NORMAL,73.88,Block IP immediately + Reset user password + Enable MFA
SOC-BBE3CD83,2026-05-26 04:09:19,root,103.21.244.0,RU,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,10,56.38,NORMAL,73.83,Block IP immediately + Reset user password + Enable MFA
SOC-D74B52EA,2026-05-26 02:53:23,root,45.33.32.156,RU,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,12,56.35,NORMAL,73.81,Block IP immediately + Reset user password + Enable MFA
SOC-0A5F6EFF,2026-05-26 01:58:18,dev.ops,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,10,56.3,NORMAL,73.78,Block IP immediately + Reset user password + Enable MFA
SOC-E8BB1A53,2026-05-26 02:57:45,root,198.51.100.23,KP,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,12,56.29,NORMAL,73.77,Block IP immediately + Reset user password + Enable MFA
SOC-1FF182DA,2026-05-26 04:11:56,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,7,56.25,NORMAL,73.75,Block IP immediately + Reset user password + Enable MFA
SOC-6E641723,2026-05-26 00:03:49,jane.smith,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,10,56.18,NORMAL,73.71,Block IP immediately + Reset user password + Enable MFA
SOC-551FD267,2026-05-26 00:36:52,jane.smith,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,10,56.18,NORMAL,73.71,Block IP immediately + Reset user password + Enable MFA
SOC-48025E3D,2026-05-26 04:09:20,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,6,56.1,NORMAL,73.66,Block IP immediately + Reset user password + Enable MFA
SOC-228651E5,2026-05-26 04:19:37,guest,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,9,55.81,NORMAL,73.49,Block IP immediately + Reset user password + Enable MFA
SOC-38D096B7,2026-05-26 02:44:18,root,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,8,55.62,NORMAL,73.37,Block IP immediately + Reset user password + Enable MFA
SOC-CE1C1DBB,2026-05-26 03:25:38,jane.smith,45.33.32.156,KP,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,13,55.53,NORMAL,73.32,Block IP immediately + Reset user password + Enable MFA
SOC-B2DF3C61,2026-05-26 01:16:12,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,6,55.5,NORMAL,73.3,Block IP immediately + Reset user password + Enable MFA
SOC-7BDD2596,2026-05-26 01:42:29,admin,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,6,55.5,NORMAL,73.3,Block IP immediately + Reset user password + Enable MFA
SOC-2C43FE9C,2026-05-26 00:46:42,deekshitha,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,5,55.06,NORMAL,73.04,Block IP immediately + Reset user password + Enable MFA
SOC-39FB4773,2026-05-26 02:31:24,deekshitha,192.0.2.77,CN,CRITICAL,Known Malicious IP Detected: 192.0.2.77,brute_force,T1110,Brute Force,9,54.99,NORMAL,72.99,Block IP immediately + Reset user password + Enable MFA
SOC-D88C4192,2026-05-26 01:45:27,admin,198.51.100.23,KP,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,11,54.9,NORMAL,72.94,Block IP immediately + Reset user password + Enable MFA
SOC-34EF59BE,2026-05-26 01:04:44,root,45.33.32.156,KP,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,11,54.78,NORMAL,72.87,Block IP immediately + Reset user password + Enable MFA
SOC-4820C397,2026-05-26 03:01:05,admin,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,9,54.79,NORMAL,72.87,Block IP immediately + Reset user password + Enable MFA
SOC-B7B40F61,2026-05-26 00:17:41,deekshitha,185.220.101.45,RU,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,10,54.74,NORMAL,72.84,Block IP immediately + Reset user password + Enable MFA
SOC-EE74B77D,2026-05-26 04:46:18,root,198.51.100.23,KP,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,10,54.44,NORMAL,72.66,Block IP immediately + Reset user password + Enable MFA
SOC-EB71AEF4,2026-05-26 04:51:44,root,45.33.32.156,KP,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,10,54.44,NORMAL,72.66,Block IP immediately + Reset user password + Enable MFA
SOC-4836B7D5,2026-05-26 01:10:26,john.doe,198.51.100.23,RU,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,13,54.41,NORMAL,72.65,Block IP immediately + Reset user password + Enable MFA
SOC-974CAA0A,2026-05-26 01:57:45,root,45.33.32.156,RU,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,11,54.21,NORMAL,72.53,Block IP immediately + Reset user password + Enable MFA
SOC-6E43E26F,2026-05-26 01:03:43,root,103.21.244.0,RU,CRITICAL,Known Malicious IP Detected: 103.21.244.0,brute_force,T1110,Brute Force,11,54.21,NORMAL,72.53,Block IP immediately + Reset user password + Enable MFA
SOC-4142D9A8,2026-05-26 00:18:40,john.doe,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,7,54.17,NORMAL,72.5,Block IP immediately + Reset user password + Enable MFA
SOC-57890756,2026-05-26 00:11:16,john.doe,198.51.100.23,CN,CRITICAL,Known Malicious IP Detected: 198.51.100.23,brute_force,T1110,Brute Force,7,54.17,NORMAL,72.5,Block IP immediately + Reset user password + Enable MFA
SOC-F56EE601,2026-05-26 04:28:18,admin,185.220.101.45,KP,CRITICAL,Known Malicious IP Detected: 185.220.101.45,brute_force,T1110,Brute Force,10,53.93,NORMAL,72.36,Block IP immediately + Reset user password + Enable MFA
SOC-9F291518,2026-05-26 00:42:24,root,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,credential_stuffing,T1110.004,Credential Stuffing,1,53.51,NORMAL,72.11,Block IP + Force password reset for all targeted users
SOC-4E7725F6,2026-05-26 00:22:10,root,185.220.101.45,CN,CRITICAL,Known Malicious IP Detected: 185.220.101.45,credential_stuffing,T1110.004,Credential Stuffing,1,53.51,NORMAL,72.11,Block IP + Force password reset for all targeted users
SOC-E6D47320,2026-05-26 00:33:19,root,103.21.244.0,CN,CRITICAL,Known Malicious IP Detected: 103.21.244.0,credential_stuffing,T1110.004,Credential Stuffing,1,53.51,NORMAL,72.11,Block IP + Force password reset for all targeted users
SOC-54F40134,2026-05-26 00:40:16,root,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,brute_force,T1110,Brute Force,1,53.51,NORMAL,72.11,Block IP immediately + Reset user password + Enable MFA
SOC-E27C6594,2026-05-26 00:37:54,root,45.33.32.156,CN,CRITICAL,Known Malicious IP Detected: 45.33.32.156,credential_stuffing,T1110.004,Credential Stuffing,1,53.51,NORMAL,72.11,Block IP + Force password reset for all targeted users
